district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
"Songshan District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,166040,111875,1777,113652,68.45,9459,0,first,,,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,54812,Taipei City,TW-63000010,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Songshan District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,166040,111875,1777,113652,68.45,9459,0,first,,,Eric Chu–Jennifer Wang,Kuomintang,45353,Taipei City,TW-63000010,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Songshan District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,166040,111875,1777,113652,68.45,9459,0,first,,,James Soong–Hsu Hsin-ying,People First Party,11710,Taipei City,TW-63000010,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Xinyi District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,188428,124999,1921,126920,67.36,10184,0,first,,,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,60817,Taipei City,TW-63000020,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Xinyi District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,188428,124999,1921,126920,67.36,10184,0,first,,,Eric Chu–Jennifer Wang,Kuomintang,50633,Taipei City,TW-63000020,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Xinyi District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,188428,124999,1921,126920,67.36,10184,0,first,,,James Soong–Hsu Hsin-ying,People First Party,13549,Taipei City,TW-63000020,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Da'an District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,247946,162457,2797,165254,66.65,6541,0,first,,,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,76278,Taipei City,TW-63000030,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Da'an District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,247946,162457,2797,165254,66.65,6541,0,first,,,Eric Chu–Jennifer Wang,Kuomintang,69737,Taipei City,TW-63000030,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Da'an District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,247946,162457,2797,165254,66.65,6541,0,first,,,James Soong–Hsu Hsin-ying,People First Party,16442,Taipei City,TW-63000030,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
"Zhongshan District, Taipei City",https://db.cec.gov.tw/ElecTable/Election/ElecTickets?dataType=tickets&typeId=ELC&subjectId=P0&legisId=00&themeId=61b4dda0ebac3332203ef3729a9a0ada&dataLevel=C&prvCode=00&cityCode=000&areaCode=00&deptCode=000&liCode=0000,https://data.gov.tw/dataset/7441,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,190398,125529,1749,127278,66.85,25668,0,first,,,Tsai Ing-wen–Chen Chien-jen,Democratic Progressive Party,69001,Taipei City,TW-63000040,official,Official CEC presidential result at township/district level. The map shows the local leader; Taiwan elects one president nationally. Remote uninhabited claimed-island geometry is omitted from the display.
